AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Europe,SR Europe,Ordinary Share,30/06/2010,3066894,61750957,0,0,0,0,0,0,0,0,183,741694,,,29327234,0,0,0,N/A,18,100,82,N,100,61750957,61009263,208.03,,,,,210.56,,,,,208.03,,,,,210.56,,,,,2.39,18,7,24,5,21,5,8,12,0,0,0,0,0,0,0,0,50,0,0,0,0,50,50,0,0,0,0,50,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,61009263,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other , , , , , , , , ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
European Emerging Markets,Baring Emerging Europe,Ordinary Share,30/06/2010,3227334,280690444,0,0,0,0,0,0,0,0,730,1334893,,,34502110,0,16000,3318207,No,4,100,96,N,100,280690444,279355551,809.68,,,,809.68,813.55,,,,813.55,809.68,,,,809.68,813.55,,,,813.55,1.23,4,0,4,4,9,61,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,279355551,,,
European Emerging Markets,Eastern European,Ordinary Share,30/06/2010,B0BN1P9,149848810,2863339,2863339,2863339,2863339,0,0,0,2863339,254.75,1346332,,,52998240,0,0,689500,No,-1,102,103,N,100,146985471,145639139,274.8,,,,274.8,277.34,,,,277.34,274.8,,,,274.8,277.34,,,,277.34,,-1,0,4,9,14,55,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,148502478,,,
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
European Smaller Companies,European Assets,Ordinary Share,30/06/2010,322566,89995000,3464000,3464000,3464000,3464000,0,0,0,3464000,519,-3800000,,,15116419,0,0,3434707,Yes,1,104,103,Y,100,86531000,90331000,,,,,,572.43,,,,562.54,,,,,,572.43,,,,562.54,,1,0,0,14,16,5,10,54,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,93795000,,,
European Smaller Companies,JPMorgan European Fledgeling,Ordinary Share,30/06/2010,341969,352740631,0,0,0,0,0,0,0,0,634,3662257,,,45136739,0,483000,1947914,Yes,2,100,98,N,100,352740631,349078374,773.38,,,,767.61,781.49,,,,775.39,773.38,,,,767.61,781.49,,,,775.39,2.02,2,0,0,13,14,11,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,349078374,,,
European Smaller Companies,Montanaro European Smaller Companies,Ordinary Share,30/06/2010,454351,71964926,9467886,9467886,9467886,9467886,0,0,0,9467886,351.5,186449,,,16573260,0,0,875000,Yes,5,115,109,N,100,62497040,62310591,375.97,,,,374.74,377.1,,,,375.81,375.97,,,,374.74,377.1,,,,375.81,1,5,0,0,12,14,12,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,71778477,,,
European Smaller Companies,TR European Growth,Ordinary Share,30/06/2010,906692,202983000,3882029,3882029,3882029,3882029,0,0,0,3882029,346.5,2602000,,,51627289,0,1268160,0,N/A,4,102,98,N,100,199100971,196498971,380.61,,,,,385.65,,,,,380.61,,,,,385.65,,,,,,4,0,1,18,23,6,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,200381000,,Par and fair values are not materially different,"1,268,160shs were bought back for £4,583,000"
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other , , , , , , , , ,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other ,Latin America,Asia ,Europe ,Africa Sub-Sahara,Middle East,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global Emerging Markets,Advance Developing Markets,Ordinary Share,30/06/2010,B45L2K9,321352157,0,0,0,0,0,0,0,0,401.5,-442540,,,65940247,0,0,0,N/A,2,100,98,N,100,321352157,321794697,488.01,457.29,,,,487.34,456.73,,,,488.01,457.29,,,,487.34,456.73,,,,0.7,2,0,27,45,17,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,321794697,,,
Global Emerging Markets,Ashmore Global Opportunities Euro (Chpt 14),Ordinary Share,30/06/2010,B1YWWB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Emerging Markets,Ashmore Global Opportunities (Chpt 14),Ordinary Share,30/06/2010,B1YWTR8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Emerging Markets,Ashmore Global Opportunities USD (Chpt 14),Ordinary Share,30/06/2010,B1YWWJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Emerging Markets,JPMorgan Emerging Markets,Ordinary Share,30/06/2010,341895,631982898,0,0,0,0,0,0,0,0,500,4595496,,,111196525,51019,0,0,N/A,2,100,98,N,100,631982898,627387402,564.21,541.47,,,,568.35,544.94,,,,564.21,541.47,,,,568.35,544.94,,,,1.79,2,0,26,50,13,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,627387402,,,
Global Emerging Markets,Templeton Emerging Markets,Ordinary Share,30/06/2010,882929,1847928733,0,0,0,0,0,0,0,0,528,14259788,,,329914352,0,0,0,N/A,0,100,100,N,100,1847928733,1833668945,555.8,,,,,560.12,,,,,555.8,,,,,560.12,,,,,,0,0,21,59,17,3,0,0,0,0,0,0,0,0,0,0,21,59,17,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1833668945,,,
Global Emerging Markets,Utilico Emerging Markets (AIM),Ordinary Share,30/06/2010,B0DQY35,344814703,9700000,9700000,9700000,9700000,0,0,0,9700000,132,6116703,,,201811934,0,1500885,0,N/A,-1,103,104,N,100,335114703,328998000,163.02,153.66,,,,166.05,156.25,,,,163.02,153.66,,,,166.05,156.25,,,,3.7,-1,0,8,57,16,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,338698000,,Fair value is not materially different to par value.,"UEM purchased for cancellation 1,500,885 ordinary shares on 16 June 2010 at a price of 130.0p per share for a total cost of £1.9m."
Category,Name,Type,Date,SEDOL,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note
Global Growth,Alliance Trust,Ordinary Share,30/06/2010,B11V7W9,2758999705,280006359,280006359,280006359,280006359,0,0,0,280006359,303.7,22199797,,,659289563,0,0,0,N/A,1,111,110,N,100,2478993346,2456793549,372.64,,,,,376.01,,,,,372.64,,,,,376.01,,,,,,1,1,40,12,25,8,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2736799908,,"Fair values are calculated by accruing the interest payable on a daily basis. ç
The latest valuation is as at 30/06/10",
Global Growth,Anglo & Overseas,Ordinary Share,30/06/2010,B0BZVZ5,75884635,0,0,0,0,0,0,0,0,89.25,1728793,,,73217881,0,0,10057438,No,1,100,99,N,100,75884635,74155842,101.28,,,,101.28,103.64,,,,103.64,101.28,,,,101.28,103.64,,,,103.64,3.93,1,0,33,38,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,74155842,,,
Global Growth,Bankers,Ordinary Share,30/06/2010,76700,475091000,25000000,31071000,25000000,31071000,0,0,0,25000000,345.7,6406000,,,111366339,0,0,0,N/A,2,106,103,N,100,450091000,443685000,398.4,,,,,404.15,,,,,392.95,,,,,398.7,,,,,3.3,2,1,44,9,18,10,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,468685000,,,
Global Growth,British Empire Securities & General,Ordinary Share,30/06/2010,133508,756253899,30030156,35321869,30030156,35321869,0,0,0,30030156,417,9314327,,,160080089,0,0,0,N/A,3,104,101,N,100,726223743,716909416,447.84,,,,,453.66,,,,,444.54,,,,,450.36,,,,,2.7,3,16,8,44,6,5,18,0,0,0,0,0,0,0,0,0,117,-46,26,0,3,0,30,35,11,5,19,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,746939572,,,
Global Growth,Brunner,Ordinary Share,30/06/2010,149000,248195351,53042336,64863636,53042336,64863636,0,0,0,53042336,353,2510639,,,46047805,0,0,0,N/A,15,127,108,N,100,195153015,192642376,418.35,,,,,423.81,,,,,392.68,,,,,398.13,,,,,2.77,15,0,43,10,21,4,5,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,245684712,,,
Global Growth,Caledonia,Ordinary Share,30/06/2010,163992,1078384000,0,0,0,0,0,0,0,0,1583,2052000,,,57845458,0,0,572230,N/A,4,100,96,N,100,1078384000,1076332000,1860.7,1852.87,,,1850.26,1864.25,1856.36,,,1853.72,1860.7,1852.87,,,1850.26,1864.25,1856.36,,,1853.72,2.5,4,0,59,16,7,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,7,7,0,1,8,*,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1076332000,,,
Global Growth,Cayenne Trust,Ordinary Share,30/06/2010,636911,54797684,0,0,0,0,0,9171000,9171000,9171000,115.5,310251,,,37905943,0,66875,2684514,Yes,13,120,104,N,100,45626684,45316433,119.55,118.47,,,118.29,120.37,119.22,,,119,119.55,118.47,,,118.29,120.37,119.22,,,119,2.4,13,11,28,17,15,2,12,2,0,0,0,0,0,0,0,0,99,0,1,0,0,0,46,20,16,2,14,2,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,54487433,,,
Global Growth,EP Global Opportunities,Ordinary Share,30/06/2010,3386257,46162653,0,0,0,0,0,0,0,0,165.25,775237,,,28056480,0,152700,4597700,No,2,100,98,N,100,46162653,45387416,161.77,,,,161.77,164.53,,,,164.53,161.77,,,,161.77,164.53,,,,164.53,2.84,2,0,16,31,20,18,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,45387416,,,"During the month 152,700 shares at a total cost of £0.258m were purchased to be held in Treasury."
Global Growth,Edinburgh Worldwide,Ordinary Share,30/06/2010,291633,156950525,24515431,24515431,24515431,24515431,0,0,0,24515431,242,700684,,,49004319,0,0,0,N/A,4,119,114,N,100,132435094,131734410,268.82,,,,,270.25,,,,,268.82,,,,,270.25,,,,,1.1,4,0,0,26,34,3,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,156249841,,,
Global Growth,Electric & General,Ordinary Share,30/06/2010,309019,267034913,7000000,8104460,7000000,8104460,0,0,0,7000000,330.75,4862005,,,65318174,0,0,0,N/A,1,103,102,N,100,260034913,255172908,390.66,,,,,398.1,,,,,388.97,,,,,396.41,,,,,3.05,1,1,22,39,26,2,9,0,0,0,0,0,0,0,0,0,36,0,63,0,1,0,-968,1002,-88,156,-2,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,262172908,,,
Global Growth,Establishment Investment Trust,Ordinary Share,30/06/2010,3133691,38819070,0,0,0,0,0,0,0,0,179,786499,,,20000000,0,0,0,N/A,12,100,88,N,100,38819070,38032571,190.16,,,,,194.1,,,,,190.16,,,,,194.1,,,,,2.1,12,0,19,20,2,0,40,7,0,0,0,0,0,0,0,0,-1,0,77,0,24,0,19,20,11,0,43,7,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,38032571,,,
Global Growth,F&C Global Smaller Companies,Ordinary Share,30/06/2010,17505,195466000,10000000,13366000,10000000,13366000,0,0,0,10000000,415,420000,,,40100990,0,60000,0,N/A,4,105,101,N,100,185466000,185046000,461.45,,,,,462.5,,,,,453.06,,,,,454.1,,,,,1.7,4,0,32,9,40,6,9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,dp,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,195046000,,Fair value calculated based on spread of 170 basis points above Treasury 5% 2014.,"3/6/10 - 15,000 shares at a cost of £0.07m
10/6/10 - 15,000 shares at a cost of £0.06m
11/6/10 - 15,000 shares at a cost of £0.06m
17/6/10 - 15,000 shares at a cost of £0.06m

"
Global Growth,Foreign & Colonial,Ordinary Share,30/06/2010,346607,2033542000,191560762,227524762,191560762,227524762,0,0,0,191560762,259,20622000,,,614825016,0,1074000,0,N/A,0,110,110,N,100,1841981238,1821359238,296.24,,,,,299.59,,,,,290.39,,,,,293.74,,,,,2.5,0,0,38,15,26,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2012920000,,"Fair values on debentures are calculated based on traded price. 
short term loans are calculated based on the exchange rates on the NAV date.","During June 2010 1,074,000 shares were bought back at a cost of £2,915,000"
Global Growth,F&C Managed Portfolio Growth,Ordinary Share,30/06/2010,B2PP252,14798007,0,0,0,0,0,0,0,0,86,0,,,17360567,0,0,1760000,Yes,6,100,94,N,100,14798007,14798007,85.24,,,,85.24,85.24,,,,85.24,85.24,,,,85.24,85.24,,,,85.24,1.7,6,2,29,20,16,1,14,12,0,0,0,0,0,0,0,0,100,0,0,0,0,0,37,20,16,1,14,12,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,14798007,,,
Global Growth,Gartmore Global,Ordinary Share,30/06/2010,318402,124141810,1000000,656780,1000000,656780,0,0,0,1000000,301.75,1791795,,,40832163,0,0,0,N/A,3,101,98,N,100,123141810,121350015,297.19,,,,,301.58,,,,,298.03,,,,,302.42,,,,,3.2,3,0,39,10,29,6,10,3,0,0,0,0,0,0,0,0,78,0,22,0,0,0,41,10,30,6,10,3,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,122350015,,,
Global Growth,Independent Investment Trust,Ordinary Share,30/06/2010,81168,120168258,0,0,0,0,0,0,0,0,170,2354494,,,61260000,0,125000,0,N/A,7,100,93,N,100,120168258,117813764,192.32,,,,,196.16,,,,,192.32,,,,,196.16,,,,,2.7,7,0,75,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,117813764,,,"125,000 shares bought back on 29 June 2010 at 168p, total cost £210,421.00"
Global Growth,Invesco Perpetual Select Global Equity,Ordinary Share,30/06/2010,B1DQ647,34324098,0,0,0,0,0,0,0,0,100.5,110809,,,32418164,0,225000,2825000,No,1,100,99,N,100,34324098,34213289,105.54,,,,105.54,105.88,,,,105.88,105.54,,,,105.54,105.88,,,,105.88,2.13,1,0,15,19,23,13,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,34213289,,Overdraft FV not materially different to PAR,
Global Growth,JPMorgan Elect Managed Growth,Ordinary Share,30/06/2010,852814,149161602,0,0,0,0,0,0,0,0,345,221599,,,42383260,0,153737,0,N/A,2,100,98,N,100,149161602,148940003,351.41,,,,,351.94,,,,,351.41,,,,,351.94,,,,,1.77,2,0,40,10,26,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,148940003,,,
Global Growth,JPMorgan Overseas,Ordinary Share,30/06/2010,914327,198716026,11908610,11858112,11908610,11858112,0,0,0,11908610,754,3611591,,,25726732,0,0,447966,No,0,106,106,N,100,186807416,183195825,712.08,,,,712.08,726.12,,,,726.12,712.28,,,,712.28,726.32,,,,726.32,2.45,0,0,20,29,30,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,195104435,,,
Global Growth,Jupiter Primadona Growth,Ordinary Share,30/06/2010,703376,44794916,1525977,1525977,1525977,1525977,0,0,0,1525977,881.5,194579,,,4244885,0,10788,109320,No,5,104,98,N,100,43268939,43074360,1014.74,,,,1014.74,1019.32,,,,1019.32,1014.74,,,,1014.74,1019.32,,,,1019.32,2.82,5,0,65,4,15,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,44600337,,,
Global Growth,Law Debenture Corporation,Ordinary Share,30/06/2010,3142921,371765000,39351000,39351000,39351000,39351000,0,0,0,39351000,278.2,8000000,,,117366193,0,0,0,N/A,0,112,112,N,100,332414000,324414000,276.41,,,,,283.23,,,,,276.41,,,,,283.23,,,,,3.4,0,0,70,11,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/A,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,363765000,,,
Global Growth,Martin Currie Portfolio,Ordinary Share,30/06/2010,537241,132376335,0,0,0,0,0,0,0,0,109.75,1931420,,,112780590,0,522698,0,N/A,12,100,88,N,100,132376335,130444915,115.66,,,,,117.38,,,,,115.66,,,,,117.38,,,,,2.81,12,0,55,8,16,2,5,2,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,130444915,,Net present value of future cashflows,"The following share buybacks took place during the month:  02/06 £0.18m, 04/06 £0.01m, 08/06 £0.04m, 09/06 £0.03m, 11/06 £0.03m, 14/06 £0.01m, 16/06 £0.03m, 17/06 £0.01m, 21/06 £0.01m, 22/06 £0.11m, 23/06 £0.04m, 24/06 £0.08m andn 28/06 £0.01m"
Global Growth,Mid Wynd International,Ordinary Share,30/06/2010,589383,55437010,5346761,5375356,5346761,5375356,0,0,0,5346761,935,601431,,,4962766,0,40000,0,N/A,2,111,108,N,100,50090249,49488818,997.2,,,,,1009.32,,,,,996.63,,,,,1008.75,,,,,1.7,2,5,21,20,18,4,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,54835579,,,"40,000 shares bought back on 29 June 2010 @ 940p, total cost £376,565.00"
Global Growth,Monks,Ordinary Share,30/06/2010,3051726,979733092,120000000,128452000,120000000,128452000,0,0,0,120000000,286,4831836,,,261014859,0,0,0,N/A,3,114,111,N,100,859733092,854901256,327.53,,,,,329.38,,,,,324.29,,,,,326.14,,,,,2.2,3,8,16,13,22,3,14,21,0,0,0,0,0,0,0,0,100,0,-13,-4,4,13,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,974901256,,,
Global Growth,Personal Assets,Ordinary Share,30/06/2010,682754,233084892,0,0,0,0,0,0,0,0,28500,659904,,,822638,3031,0,0,No,3,100,97,N,100,233084892,232424988,28253.62,,,,,28333.83,,,,,28253.62,,,,,28333.83,,,,,2.58,3,32,27,5,20,0,2,11,0,0,0,0,0,0,0,0,58,0,42,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,232424988,,,"On 2 July 2010 the Company issued 2,077 ord £12.50 shares at £284.75 per share.
On 4 July 2010 the Company issued 954 ord £12.50 shares at £287.50 per share."
Global Growth,RIT Capital Partners,Ordinary Share,30/06/2010,736639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Growth,Scottish Investment Trust,Ordinary Share,30/06/2010,782609,666797277,107692360,119789035,107692360,119789035,0,0,0,107692360,413,3766953,,,119437926,0,1299000,0,N/A,10,119,107,N,100,559104917,555337964,464.96,,,,,468.11,,,,,454.83,,,,,457.99,,,,,2.9,10,1,17,11,28,5,18,10,0,0,0,0,0,0,0,0,53,5,10,14,18,0,8,14,34,8,24,12,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,663030324,,,"Shares bought back during the period amounted to 1,299,000 @ cost of £5.6m"
Global Growth,Scottish Mortgage,Ordinary Share,30/06/2010,783884,1949975558,311509765,363230910,311509765,363230910,0,0,0,311509765,556.5,16027566,,,258069897,0,0,26276279,No,1,119,118,N,100,1638465793,1622438227,628.68,,,,628.68,634.89,,,,634.89,608.64,,,,608.64,614.85,,,,614.85,2.4,1,6,12,17,28,4,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1933947992,,,
